title,metacritic,rotten_tomatoes
The Singing Forest,1,0
The Price of Air,8,0
Superbabies: Baby Geniuses 2,9,0
Saving Christmas,18,0
Disaster Movie,15,1
The Hottie & the Nottie,7,4
Justin Bieber's Believe,39,57
Justin Bieber: Never Say Never,52,64
InAPPropriate Comedy,1,0.05
Simon Sez,16,0
The Undefeated,32,0
Alone in the Dark,9,1
Daddy Day Camp,13,1
Baby Geniuses,6,2
Meet the Spartans,9,2
Epic Movie,17,2
Crossover,30,2
Battlefield Earth,9,3
Rollerball,14,3
House of the Dead,15,4
BloodRayne,18,4
Who's Your Caddy?,18,6
Son of the Mask,20,6
Kazaam,24,6
Date Movie,11,7
Glitter,14,7
Doogal,23,8
Battlefield America,31,8
Marci X,20,9
Bratz,21,9
From Justin to Kelly,14,10
Blackwoods,30,11
Feel the Noise,36,12
Don't Go in the Woods,29,13
The Ten Commandments,25,14
In the Mix,31,14
Dragonball: Evolution,45,14
Jersey Shore Massacre,12,17
Phat Girlz,36,23
Beginning of the Great Revival,29,25
Speed-Dating,30,25
Jonas Brothers: The 3D Concert Experience,45,25
Lost for Words,48,33
The Real Cancun,34,35
G.I. Jesus,57,50
Hannah Montana & Miley Cyrus: Best of Both Worlds Concert,59,72
10 Rules for Sleeping Around,1,0.1
Transylmania,8,0.05
Bucky Larson: Born to Be a Star,9,0.05
Fading of the Cries,11,0
Persecuted,11,0.05
3 Strikes,11,0.1
Once Upon a Time in Brooklyn,15,0
Best Night Ever,17,0
Ballistic: Ecks vs. Sever,19,0
Assassin's Bullet,20,0
That's What She Said,22,0
Make a Wish,23,0
One Missed Call,24,0
Redline,24,0.05
Cam2Cam,26,0
Stranded,27,0
Sarah Landon and the Paranormal Hour,30,0
Teddy Bears' Picnic,32,0.05
Constellation,41,0
The Master of Disguise,12,1
Left Behind,12,2
Mortal Kombat: Annihilation,11,3
Feardotcom,16,3
Witless Protection,17,3
Jack and Jill,23,3
Speed 2: Cruise Control,23,3.05
The Haunting of Molly Hartley,28,3
Dirty Love,9,4
Scary Movie 5,11,4
Fascination,13,4
In the Name of the King: A Dungeon Siege Tale,15,4.05
Material Girls,17,4
Soul Survivors,20,4
The Fog,27,4
The Avengers,12,5
The Adventures of Pluto Nash,12,5.05
The Cookout,15,5
Delta Farce,17,5
Vampires Suck,18,5
Swept Away,18,5.05
30 Beats,20,5
Larry the Cable Guy: Health Inspector,21,5
Nature Calls,30,5
Chaos,1,6
Underclassman,19,6
Standing Ovation,22,6
Supercross,26,6
I Know Who Killed Me,16,7
Tomorrow You're Gone,19,7
Immigration Tango,28,7
The Omega Code,14,8
Prom Night,17,8
Furry Vengeance,23,8.05
Are We Done Yet?,36,8
Catwoman,27,9
Norbit,27,9.05
Dungeons & Dragons,14,10.05
Dumb and Dumberer: When Harry Met Lloyd,19,10
Dr. Seuss' The Cat in the Hat,19,10.05
Expelled: No Intelligence Allowed,20,11
Boricua's Bond,21,11
Dracula 3D,25,11
Batman & Robin,28,11
Creature,31,11
Superman IV: The Quest for Peace,22,12
Piranha 3DD,24,13
Free the Nipple,29,13.05
The King and I,29,13.1
Teen Wolf Too,8,14
Dumbbells,24,14
The Love Guru,24,14.05
Crossroads,27,14
The Honeymooners,31,14.05
The Last Exorcism Part II,35,16
Dudley Do-Right,44,16
Outta Time,19,17
Bats,23,17
The Kill Hole,39,17
Street Fighter: The Legend of Chun-Li,17,18
Smiley,25,18
Dance Flick,40,18
Thomas and the Magic Railroad,19,19
Hangar 10,26,20
The Adventures of Sharkboy and Lavagirl 3-D,38,20
MVP: Most Valuable Primate,43,20
Spy Kids: All the Time in the World in 4D,37,22
My Big Fat Independent Movie,32,23
The Canyons,36,23.05
Psychopathia Sexualis,40,23
Torque,41,23
The Flintstones in Viva Rock Vegas,27,25
Addicted to Fame,36,27
Crazy Eyes,31,28
Live Virgin,30,29
Spice World,32,29
Dragon Wars: D-War,33,29
The Human Centipede II (Full Sequence),17,30
The Country Bears,37,30
Beneath,40,31
Meet the Browns,45,32
Color of the Cross,34,33
Murder-Set-Pieces,13,36
Beverly Hills Chihuahua,41,41
Vikingdom,39,43
Chandni Chowk to China,44,43
Quattro Noza,60,43
Flesh for the Beast,28,50
I Can Do Bad All by Myself,55,63
A Chronicle of Corpses,56,63
How She Move,63,65
Luminarias,41,67
Perception,8,0.1
State Property,9,0.1
Atlas Shrugged: Who Is John Galt?,9,0.15
Pinocchio,11,0.15
Last Ounce of Courage,11,0.2
A Beautiful Life,13,0
Love Wedding Marriage,13,0.05
Surfer Dude,16,0.05
But Always,16,0.1
Staying Alive,17,0.05
The Prince,17,0.1
Behaving Badly,18,0.05
The Nutcracker in 3D,18,0.1
Kite,19,0.05
General Education,21,0
Brother's Justice,22,0.05
Mr. Smith Gets a Hustler,22,0.1
Dark Tide,23,0.05
Sex Politics & Cocktails,24,0.1
House,24,0.15
Breaking Point,24,0.2
Generation Um...,25,0
Deadline,25,0.05
The Life: What's Your Pleasure?,26,0.05
Reclaim,26,0.1
The Suburbans,27,0.05
American Milkshake,30,0.05
King's Ransom,11,2
The In Crowd,14,2
Getaway,22,2
Down to You,13,3
The Apparition,18,3
The Legend of Hercules,22,3
Passion Play,22,3.05
Half Past Dead,23,3.1
Zoom,26,3
The Mod Squad,16,4
Movie 43,18,4.05
My Baby's Daddy,23,4
The Roommate,23,4.05
The Celestine Prophecy,23,4.1
Godsend,24,4
Happily N'Ever After,28,4
Cool World,28,4.05
Code Name: The Cleaner,33,4
Bio-Dome,1,5
Yu-Gi-Oh!: The Movie,15,5.05
College,15,5.1
Big Mommas: Like Father Like Son,22,5
Beneath the Darkness,22,5.05
The Cold Light of Day,22,5.1
The Outsider,23,5
Universal Soldier: The Return,24,5
Multiple Sarcasms,35,5
The Devil Inside,18,6.05
The Last Airbender,20,6.05
